"Colname" "CGR.ID" "External.ID" "SampleType" "Source.Material" "Extraction.Batch.ID" "Source.PCR.Plate" "Run.ID" "Project.ID" "Collection.Method" "Instrument" "Month" "Storage" "Subject"
"SC240988" "SP2011_OMNI_V03_MB0000601" "SP2011_OMNI_V03" "Study" "Saliva" "MB0000601" "PC19941_B_03" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "OMNIgene" "QS" "ExtMonth0" "80" "SP2011"
"SC240989" "SP2012_OMNI_V03_MB0000601" "SP2012_OMNI_V03" "Study" "Saliva" "MB0000601" "PC19941_D_02" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "OMNIgene" "QS" "ExtMonth0" "80" "SP2012"
"SC240990" "SP2013_OMNI_V03_MB0000601" "SP2013_OMNI_V03" "Study" "Saliva" "MB0000601" "PC19941_H_02" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "OMNIgene" "QS" "ExtMonth0" "80" "SP2013"
"SC240991" "SP2014_OMNI_V03_MB0000601" "SP2014_OMNI_V03" "Study" "Saliva" "MB0000601" "PC19941_A_05" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "OMNIgene" "QS" "ExtMonth0" "80" "SP2014"
"SC240992" "SP2015_OMNI_V03_MB0000601" "SP2015_OMNI_V03" "Study" "Saliva" "MB0000601" "PC19941_A_01" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "OMNIgene" "QS" "ExtMonth0" "80" "SP2015"
"SC241002" "SP2016_OMNI_V03_MB0000602" "SP2016_OMNI_V03" "Study" "Saliva" "MB0000602" "PC19941_B_01" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "OMNIgene" "QS" "ExtMonth0" "80" "SP2016"
"SC241003" "SP2017_OMNI_V03_MB0000602" "SP2017_OMNI_V03" "Study" "Saliva" "MB0000602" "PC19941_G_04" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "OMNIgene" "QS" "ExtMonth0" "80" "SP2017"
"SC241004" "SP2018_OMNI_V03_MB0000602" "SP2018_OMNI_V03" "Study" "Saliva" "MB0000602" "PC19941_A_04" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "OMNIgene" "QS" "ExtMonth0" "80" "SP2018"
"SC241005" "SP2019_OMNI_V03_MB0000602" "SP2019_OMNI_V03" "Study" "Saliva" "MB0000602" "PC19941_F_01" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "OMNIgene" "QS" "ExtMonth0" "80" "SP2019"
"SC241006" "SP2020_OMNI_V03_MB0000602" "SP2020_OMNI_V03" "Study" "Saliva" "MB0000602" "PC19941_A_03" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "OMNIgene" "QS" "ExtMonth0" "80" "SP2020"
"SC241007" "SP2021_OMNI_V03_MB0000602" "SP2021_OMNI_V03" "Study" "Saliva" "MB0000602" "PC19941_H_01" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "OMNIgene" "QS" "ExtMonth0" "80" "SP2021"
"SC241008" "SP2022_OMNI_V03_MB0000602" "SP2022_OMNI_V03" "Study" "Saliva" "MB0000602" "PC19941_F_02" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "OMNIgene" "QS" "ExtMonth0" "80" "SP2022"
"SC241009" "SP2023_OMNI_V03_MB0000602" "SP2023_OMNI_V03" "Study" "Saliva" "MB0000602" "PC19941_G_02" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "OMNIgene" "QS" "ExtMonth0" "80" "SP2023"
"SC241010" "SP2024_OMNI_V03_MB0000602" "SP2024_OMNI_V03" "Study" "Saliva" "MB0000602" "PC19941_D_03" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "OMNIgene" "QS" "ExtMonth0" "80" "SP2024"
"SC241011" "SP2025_OMNI_V03_MB0000602" "SP2025_OMNI_V03" "Study" "Saliva" "MB0000602" "PC19941_C_02" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "OMNIgene" "QS" "ExtMonth0" "80" "SP2025"
"SC241012" "SP2026_OMNI_V03_MB0000602" "SP2026_OMNI_V03" "Study" "Saliva" "MB0000602" "PC19941_H_03" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "OMNIgene" "QS" "ExtMonth0" "80" "SP2026"
"SC241013" "SP2027_OMNI_V03_MB0000602" "SP2027_OMNI_V03" "Study" "Saliva" "MB0000602" "PC19941_E_04" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "OMNIgene" "QS" "ExtMonth0" "80" "SP2027"
"SC241014" "SP2028_OMNI_V03_MB0000602" "SP2028_OMNI_V03" "Study" "Saliva" "MB0000602" "PC19941_E_02" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "OMNIgene" "QS" "ExtMonth0" "80" "SP2028"
"SC241015" "SP2029_OMNI_V03_MB0000602" "SP2029_OMNI_V03" "Study" "Saliva" "MB0000602" "PC19941_C_01" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "OMNIgene" "QS" "ExtMonth0" "80" "SP2029"
"SC241016" "SP2030_OMNI_V03_MB0000602" "SP2030_OMNI_V03" "Study" "Saliva" "MB0000602" "PC19941_B_02" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "OMNIgene" "QS" "ExtMonth0" "80" "SP2030"
"SC241025" "DZ35298_0005_MB0000602" "DZ35298_0005" "robogut" "Saliva" "MB0000602" "PC19941_B_04" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "Control" "QS" "ExtMonth0" "Control" "Control"
"SC241026" "SP2001_OMNI_V01_MB0000603" "SP2001_OMNI_V01" "Study" "Saliva" "MB0000603" "PC19941_B_06" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "OMNIgene" "KF" "ExtMonth0" "20" "SP2001"
"SC241027" "SP2002_OMNI_V01_MB0000603" "SP2002_OMNI_V01" "Study" "Saliva" "MB0000603" "PC19941_C_06" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "OMNIgene" "KF" "ExtMonth0" "20" "SP2002"
"SC241028" "SP2003_OMNI_V01_MB0000603" "SP2003_OMNI_V01" "Study" "Saliva" "MB0000603" "PC19941_E_08" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "OMNIgene" "KF" "ExtMonth0" "20" "SP2003"
"SC241029" "SP2004_OMNI_V01_MB0000603" "SP2004_OMNI_V01" "Study" "Saliva" "MB0000603" "PC19941_C_07" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "OMNIgene" "KF" "ExtMonth0" "20" "SP2004"
"SC241030" "SP2005_OMNI_V01_MB0000603" "SP2005_OMNI_V01" "Study" "Saliva" "MB0000603" "PC19941_A_08" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "OMNIgene" "KF" "ExtMonth0" "20" "SP2005"
"SC241031" "SP2006_OMNI_V01_MB0000603" "SP2006_OMNI_V01" "Study" "Saliva" "MB0000603" "PC19941_B_09" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "OMNIgene" "KF" "ExtMonth0" "20" "SP2006"
"SC241032" "SP2007_OMNI_V01_MB0000603" "SP2007_OMNI_V01" "Study" "Saliva" "MB0000603" "PC19941_G_06" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "OMNIgene" "KF" "ExtMonth0" "20" "SP2007"
"SC241033" "SP2008_OMNI_V01_MB0000603" "SP2008_OMNI_V01" "Study" "Saliva" "MB0000603" "PC19941_B_08" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "OMNIgene" "KF" "ExtMonth0" "20" "SP2008"
"SC241034" "SP2009_OMNI_V01_MB0000603" "SP2009_OMNI_V01" "Study" "Saliva" "MB0000603" "PC19941_F_07" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "OMNIgene" "KF" "ExtMonth0" "20" "SP2009"
"SC241035" "SP2010_OMNI_V01_MB0000603" "SP2010_OMNI_V01" "Study" "Saliva" "MB0000603" "PC19941_E_05" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "OMNIgene" "KF" "ExtMonth0" "20" "SP2010"
"SC241036" "SP2011_OMNI_V01_MB0000603" "SP2011_OMNI_V01" "Study" "Saliva" "MB0000603" "PC19941_B_05" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "OMNIgene" "KF" "ExtMonth0" "20" "SP2011"
"SC241037" "SP2012_OMNI_V01_MB0000603" "SP2012_OMNI_V01" "Study" "Saliva" "MB0000603" "PC19941_H_06" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "OMNIgene" "KF" "ExtMonth0" "20" "SP2012"
"SC241038" "SP2013_OMNI_V01_MB0000603" "SP2013_OMNI_V01" "Study" "Saliva" "MB0000603" "PC19941_D_05" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "OMNIgene" "KF" "ExtMonth0" "20" "SP2013"
"SC241039" "SP2014_OMNI_V01_MB0000603" "SP2014_OMNI_V01" "Study" "Saliva" "MB0000603" "PC19941_D_06" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "OMNIgene" "KF" "ExtMonth0" "20" "SP2014"
"SC241040" "SP2015_OMNI_V01_MB0000603" "SP2015_OMNI_V01" "Study" "Saliva" "MB0000603" "PC19941_H_08" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "OMNIgene" "KF" "ExtMonth0" "20" "SP2015"
"SC241049" "DZ35298_0016_MB0000603" "DZ35298_0016" "robogut" "Saliva" "MB0000603" "PC19941_E_07" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "Control" "KF" "ExtMonth0" "Control" "Control"
"SC241050" "SP2016_OMNI_V01_MB0000604" "SP2016_OMNI_V01" "Study" "Saliva" "MB0000604" "PC19941_G_05" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "OMNIgene" "KF" "ExtMonth0" "20" "SP2016"
"SC241051" "SP2017_OMNI_V01_MB0000604" "SP2017_OMNI_V01" "Study" "Saliva" "MB0000604" "PC19941_C_09" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "OMNIgene" "KF" "ExtMonth0" "20" "SP2017"
"SC241052" "SP2018_OMNI_V01_MB0000604" "SP2018_OMNI_V01" "Study" "Saliva" "MB0000604" "PC19941_H_07" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "OMNIgene" "KF" "ExtMonth0" "20" "SP2018"
"SC241053" "SP2019_OMNI_V01_MB0000604" "SP2019_OMNI_V01" "Study" "Saliva" "MB0000604" "PC19941_A_06" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "OMNIgene" "KF" "ExtMonth0" "20" "SP2019"
"SC241054" "SP2020_OMNI_V01_MB0000604" "SP2020_OMNI_V01" "Study" "Saliva" "MB0000604" "PC19941_G_07" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "OMNIgene" "KF" "ExtMonth0" "20" "SP2020"
"SC241055" "SP2021_OMNI_V01_MB0000604" "SP2021_OMNI_V01" "Study" "Saliva" "MB0000604" "PC19941_F_06" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "OMNIgene" "KF" "ExtMonth0" "20" "SP2021"
"SC241056" "SP2022_OMNI_V01_MB0000604" "SP2022_OMNI_V01" "Study" "Saliva" "MB0000604" "PC19941_F_05" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "OMNIgene" "KF" "ExtMonth0" "20" "SP2022"
"SC241057" "SP2023_OMNI_V01_MB0000604" "SP2023_OMNI_V01" "Study" "Saliva" "MB0000604" "PC19941_E_06" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "OMNIgene" "KF" "ExtMonth0" "20" "SP2023"
"SC241058" "SP2024_OMNI_V01_MB0000604" "SP2024_OMNI_V01" "Study" "Saliva" "MB0000604" "PC19941_H_05" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "OMNIgene" "KF" "ExtMonth0" "20" "SP2024"
"SC241059" "SP2025_OMNI_V01_MB0000604" "SP2025_OMNI_V01" "Study" "Saliva" "MB0000604" "PC19941_A_09" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "OMNIgene" "KF" "ExtMonth0" "20" "SP2025"
"SC241060" "SP2026_OMNI_V01_MB0000604" "SP2026_OMNI_V01" "Study" "Saliva" "MB0000604" "PC19941_F_08" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "OMNIgene" "KF" "ExtMonth0" "20" "SP2026"
"SC241061" "SP2027_OMNI_V01_MB0000604" "SP2027_OMNI_V01" "Study" "Saliva" "MB0000604" "PC19941_D_08" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "OMNIgene" "KF" "ExtMonth0" "20" "SP2027"
"SC241062" "SP2028_OMNI_V01_MB0000604" "SP2028_OMNI_V01" "Study" "Saliva" "MB0000604" "PC19941_A_07" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "OMNIgene" "KF" "ExtMonth0" "20" "SP2028"
"SC241063" "SP2029_OMNI_V01_MB0000604" "SP2029_OMNI_V01" "Study" "Saliva" "MB0000604" "PC19941_G_08" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "OMNIgene" "KF" "ExtMonth0" "20" "SP2029"
"SC241064" "SP2030_OMNI_V01_MB0000604" "SP2030_OMNI_V01" "Study" "Saliva" "MB0000604" "PC19941_C_08" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "OMNIgene" "KF" "ExtMonth0" "20" "SP2030"
"SC241073" "DZ35316_0019_MB0000604" "DZ35316_0019" "artificialcolony" "Saliva" "MB0000604" "PC19941_D_07" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "Control" "KF" "ExtMonth0" "Control" "Control"
"SC241075" "SP2002_ScopeCell_V01_MB0000605" "SP2002_ScopeCell_V01" "Study" "Saliva" "MB0000605" "PC19941_A_12" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "ScopeCell" "QS" "ExtMonth0" "80" "SP2002"
"SC241076" "SP2003_ScopeCell_V03_MB0000605" "SP2003_ScopeCell_V03" "Study" "Saliva" "MB0000605" "PC19941_F_10" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "ScopeCell" "QS" "ExtMonth0" "80" "SP2003"
"SC241077" "SP2004_ScopeCell_V01_MB0000605" "SP2004_ScopeCell_V01" "Study" "Saliva" "MB0000605" "PC19941_F_11" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "ScopeCell" "QS" "ExtMonth0" "80" "SP2004"
"SC241078" "SP2005_ScopeCell_V03_MB0000605" "SP2005_ScopeCell_V03" "Study" "Saliva" "MB0000605" "PC19941_C_10" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "ScopeCell" "QS" "ExtMonth0" "80" "SP2005"
"SC241079" "SP2006_ScopeCell_V03_MB0000605" "SP2006_ScopeCell_V03" "Study" "Saliva" "MB0000605" "PC19941_F_09" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "ScopeCell" "QS" "ExtMonth0" "80" "SP2006"
"SC241080" "SP2007_ScopeCell_V03_MB0000605" "SP2007_ScopeCell_V03" "Study" "Saliva" "MB0000605" "PC19941_B_10" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "ScopeCell" "QS" "ExtMonth0" "80" "SP2007"
"SC241081" "SP2008_ScopeCell_V01_MB0000605" "SP2008_ScopeCell_V01" "Study" "Saliva" "MB0000605" "PC19941_D_09" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "ScopeCell" "QS" "ExtMonth0" "80" "SP2008"
"SC241082" "SP2009_ScopeCell_V03_MB0000605" "SP2009_ScopeCell_V03" "Study" "Saliva" "MB0000605" "PC19941_E_11" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "ScopeCell" "QS" "ExtMonth0" "80" "SP2009"
"SC241083" "SP2010_ScopeCell_V03_MB0000605" "SP2010_ScopeCell_V03" "Study" "Saliva" "MB0000605" "PC19941_H_09" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "ScopeCell" "QS" "ExtMonth0" "80" "SP2010"
"SC241086" "SP2013_ScopeCell_V03_MB0000605" "SP2013_ScopeCell_V03" "Study" "Saliva" "MB0000605" "PC19941_E_09" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "ScopeCell" "QS" "ExtMonth0" "80" "SP2013"
"SC241098" "SP2016_ScopeCell_V03_MB0000606" "SP2016_ScopeCell_V03" "Study" "Saliva" "MB0000606" "PC19941_H_10" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "ScopeCell" "QS" "ExtMonth0" "80" "SP2016"
"SC241099" "SP2017_ScopeCell_V03_MB0000606" "SP2017_ScopeCell_V03" "Study" "Saliva" "MB0000606" "PC19941_D_12" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "ScopeCell" "QS" "ExtMonth0" "80" "SP2017"
"SC241100" "SP2018_ScopeCell_V03_MB0000606" "SP2018_ScopeCell_V03" "Study" "Saliva" "MB0000606" "PC19941_A_10" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "ScopeCell" "QS" "ExtMonth0" "80" "SP2018"
"SC241102" "SP2020_ScopeCell_V03_MB0000606" "SP2020_ScopeCell_V03" "Study" "Saliva" "MB0000606" "PC19941_H_11" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "ScopeCell" "QS" "ExtMonth0" "80" "SP2020"
"SC241103" "SP2021_ScopeCell_V03_MB0000606" "SP2021_ScopeCell_V03" "Study" "Saliva" "MB0000606" "PC19941_B_11" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "ScopeCell" "QS" "ExtMonth0" "80" "SP2021"
"SC241104" "SP2022_ScopeCell_V03_MB0000606" "SP2022_ScopeCell_V03" "Study" "Saliva" "MB0000606" "PC19941_G_10" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "ScopeCell" "QS" "ExtMonth0" "80" "SP2022"
"SC241105" "SP2023_ScopeCell_V03_MB0000606" "SP2023_ScopeCell_V03" "Study" "Saliva" "MB0000606" "PC19941_C_11" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "ScopeCell" "QS" "ExtMonth0" "80" "SP2023"
"SC241106" "SP2024_ScopeCell_V03_MB0000606" "SP2024_ScopeCell_V03" "Study" "Saliva" "MB0000606" "PC19941_A_11" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "ScopeCell" "QS" "ExtMonth0" "80" "SP2024"
"SC241107" "SP2025_ScopeCell_V03_MB0000606" "SP2025_ScopeCell_V03" "Study" "Saliva" "MB0000606" "PC19941_F_12" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "ScopeCell" "QS" "ExtMonth0" "80" "SP2025"
"SC241108" "SP2026_ScopeCell_V03_MB0000606" "SP2026_ScopeCell_V03" "Study" "Saliva" "MB0000606" "PC19941_E_10" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "ScopeCell" "QS" "ExtMonth0" "80" "SP2026"
"SC241109" "SP2027_ScopeCell_V03_MB0000606" "SP2027_ScopeCell_V03" "Study" "Saliva" "MB0000606" "PC19941_G_09" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "ScopeCell" "QS" "ExtMonth0" "80" "SP2027"
"SC241110" "SP2028_ScopeCell_V03_MB0000606" "SP2028_ScopeCell_V03" "Study" "Saliva" "MB0000606" "PC19941_D_11" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "ScopeCell" "QS" "ExtMonth0" "80" "SP2028"
"SC241111" "SP2029_ScopeCell_V03_MB0000606" "SP2029_ScopeCell_V03" "Study" "Saliva" "MB0000606" "PC19941_E_12" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "ScopeCell" "QS" "ExtMonth0" "80" "SP2029"
"SC241112" "SP2030_ScopeCell_V03_MB0000606" "SP2030_ScopeCell_V03" "Study" "Saliva" "MB0000606" "PC19941_G_11" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "ScopeCell" "QS" "ExtMonth0" "80" "SP2030"
"SC241121" "DZ35298_0019_MB0000606" "DZ35298_0019" "robogut" "Saliva" "MB0000606" "PC19941_C_12" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "Control" "KF" "ExtMonth0" "Control" "Control"
"SC253800" "SP2010_ScopeCell_V05_PC02199" "SP2010_ScopeCell_V05" "Study" "Buccal" "PC02199" "PC20074_A_01" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "ScopeCell" "KF" "ExtMonth01" "80" "SP2010"
"SC253801" "SP2011_ScopeCell_V05_PC02199" "SP2011_ScopeCell_V05" "Study" "Buccal" "PC02199" "PC20074_B_01" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "ScopeCell" "KF" "ExtMonth01" "80" "SP2011"
"SC253802" "SP2012_ScopeCell_V05_PC02199" "SP2012_ScopeCell_V05" "Study" "Buccal" "PC02199" "PC20074_C_01" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "ScopeCell" "KF" "ExtMonth01" "80" "SP2012"
"SC253803" "SP2013_ScopeCell_V05_PC02199" "SP2013_ScopeCell_V05" "Study" "Buccal" "PC02199" "PC20074_D_01" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "ScopeCell" "KF" "ExtMonth01" "80" "SP2013"
"SC253805" "SP2015_ScopeCell_V05_PC02199" "SP2015_ScopeCell_V05" "Study" "Buccal" "PC02199" "PC20074_E_01" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "ScopeCell" "KF" "ExtMonth01" "80" "SP2015"
"SC253806" "SP2016_ScopeCell_V05_PC02199" "SP2016_ScopeCell_V05" "Study" "Buccal" "PC02199" "PC20074_F_01" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "ScopeCell" "KF" "ExtMonth01" "80" "SP2016"
"SC253807" "SP2017_ScopeCell_V05_PC02199" "SP2017_ScopeCell_V05" "Study" "Buccal" "PC02199" "PC20074_G_01" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "ScopeCell" "KF" "ExtMonth01" "80" "SP2017"
"SC253808" "SP2018_ScopeCell_V05_PC02199" "SP2018_ScopeCell_V05" "Study" "Buccal" "PC02199" "PC20074_H_01" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "ScopeCell" "KF" "ExtMonth01" "80" "SP2018"
"SC253809" "SP2019_ScopeCell_V05_PC02199" "SP2019_ScopeCell_V05" "Study" "Buccal" "PC02199" "PC20074_A_02" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "ScopeCell" "KF" "ExtMonth01" "80" "SP2019"
"SC253810" "SP2020_ScopeCell_V05_PC02199" "SP2020_ScopeCell_V05" "Study" "Buccal" "PC02199" "PC20074_B_02" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "ScopeCell" "KF" "ExtMonth01" "80" "SP2020"
"SC253811" "SP2021_ScopeCell_V05_PC02199" "SP2021_ScopeCell_V05" "Study" "Buccal" "PC02199" "PC20074_C_02" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "ScopeCell" "KF" "ExtMonth01" "80" "SP2021"
"SC253812" "SP2022_ScopeCell_V05_PC02199" "SP2022_ScopeCell_V05" "Study" "Buccal" "PC02199" "PC20074_D_02" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "ScopeCell" "KF" "ExtMonth01" "80" "SP2022"
"SC253813" "SP2023_ScopeCell_V05_PC02199" "SP2023_ScopeCell_V05" "Study" "Buccal" "PC02199" "PC20074_E_02" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "ScopeCell" "KF" "ExtMonth01" "80" "SP2023"
"SC253814" "SP2024_ScopeCell_V05_PC02199" "SP2024_ScopeCell_V05" "Study" "Buccal" "PC02199" "PC20074_F_02" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "ScopeCell" "KF" "ExtMonth01" "80" "SP2024"
"SC253815" "SP2025_ScopeCell_V05_PC02199" "SP2025_ScopeCell_V05" "Study" "Buccal" "PC02199" "PC20074_G_02" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "ScopeCell" "KF" "ExtMonth01" "80" "SP2025"
"SC253816" "SP2026_ScopeCell_V05_PC02199" "SP2026_ScopeCell_V05" "Study" "Buccal" "PC02199" "PC20074_H_02" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "ScopeCell" "KF" "ExtMonth01" "80" "SP2026"
"SC253817" "SP2027_ScopeCell_V05_PC02199" "SP2027_ScopeCell_V05" "Study" "Buccal" "PC02199" "PC20074_A_03" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "ScopeCell" "KF" "ExtMonth01" "80" "SP2027"
"SC253818" "SP2028_ScopeCell_V05_PC02199" "SP2028_ScopeCell_V05" "Study" "Buccal" "PC02199" "PC20074_B_03" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "ScopeCell" "KF" "ExtMonth01" "80" "SP2028"
"SC253819" "SP2029_ScopeCell_V05_PC02199" "SP2029_ScopeCell_V05" "Study" "Buccal" "PC02199" "PC20074_C_03" "190405_M01354_0116_000000000-CDD59" "NP0440-MB4" "ScopeCell" "KF" "ExtMonth01" "80" "SP2029"
